['https://c.tenor.com/er-NJ2nFtgMAAAAC/dababy-ted-kaczynski.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/qmSIzc-H7vIAAAAC/1984.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/WyLuH4wKtkMAAAAC/china-flag-flag-raised.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/787285636713152532/801257376140492820/fall.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/eG1XEhRsFTgAAAAd/cat-in-bag.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/775752263981072414/801150788021649428/image0-5_1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/OkvkN3RP2uoAAAAd/based-rolli.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/439519668819066880/799423960529633360/freeze.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/1z3hj4JGd7QAAAAC/my-cat-when-it-once-again-lets-its-gaurd-down-pet.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/648400331583258631/665996766017224716/image0-10-1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795191739416707093/799156657547640832/7c87a1f2ad1231245032621b091b3f33d53e68ae0ffa9d102aea378dfb54d0a2_1.gif.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/9ckqI2zyVTkAAAAC/trollge-troll.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/666676467723272212/798944916679163934/image0.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/RZQU1_c6suwAAAAd/bodeguys-you-can-be-racist-to-me.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/dgc-LAOnxT0AAAAC/angry-look-angry.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/bahRI6W2bAsAAAAC/cross-angry.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/aYWMDPzj7JsAAAAC/cross-angry.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/K-dJjhamcQcAAAAC/cross-angry.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/yPwxHNp9bmUAAAAC/cross-angry.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/WjR3tEs0lgkAAAAC/scary-sleep.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/758268607628050445/798919626120495155/image0.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/787285636713152532/798758798017429504/shrk.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/XMVz4JeILUMAAAAC/ladies-and-gentleman-we-got-him.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/719904374473883700/798532585612509224/oi_l.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/456230331507277824/789951717952192522/image0.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/498943000353964032/765694395579760670/image0.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/bzlFStFOPWsAAAAC/5shekels.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/LH1yOkusP2EAAAAd/masterchief-drip.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/778442718551867402/797287906887860244/frog_dance.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/x9-rb7oIGF4AAAAC/me-looking-for-funny-looking-for-the-funny.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/y5GKDyayVpQAAAAd/gif.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/emojis/779471963076296714.gif?v=1', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/kU2Ch_h51GEAAAAC/when-the-imposter-is-sus-sus.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/8UpMdIyCN8UAAAAC/wake-the-fuck-up-crewmate-we-have-an-imposter-to-eject.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/KoraOVopTMsAAAAd/when-the-imposter-is-sus-jerma.gif', '868888972120702996', '868888972120702999', '179894333275766784']
